Time;Application throughput downlink;Ping round trip time;RS SNR;RSRQ (detected) - 1;RSRQ (detected) - 2;RSRQ (detected) - 3;RSRQ (detected) - 4;RSRQ (detected) - 5;RSRQ (detected) - 6;RSRP (detected) - 1;RSRP (detected) - 2;RSRP (detected) - 3;RSRP (detected) - 4;RSRP (detected) - 5;RSRP (detected) - 6
14:09:39.383;;;;-19.0; -20.0;;;;;-82.0; -85.0;;;;
14:09:39.383;;;23.2;;;;;;;;;;;;
14:09:40.343;;;;-19.5; -20.0;;;;;-84.0; -87.0;;;;
14:09:40.343;;;23.3;;;;;;;;;;;;
14:09:41.303;;;;-18.5; -20.0;;;;;-84.0; -89.0;;;;
14:09:41.303;;;24.8;;;;;;;;;;;;
14:09:42.263;;;;-13.5; -17.5;;;;;-78.0; -83.0;;;;
14:09:42.263;;;16.4;;;;;;;;;;;;
14:09:44.450;;;15.4;;;;;;;;;;;;
14:09:45.731;;;;-13.5;;;;;;-76.0;;;;;
14:09:45.731;;;12.5;;;;;;;;;;;;
14:09:47.012;;;;-14.5;;;;;;-77.0;;;;;
14:09:47.012;;;14.5;;;;;;;;;;;;
14:09:48.308;;;;-10.5; -20.0;;;;;-76.0; -89.0;;;;
14:09:48.308;;;15.1;;;;;;;;;;;;
14:09:48.989;;;;-14.0; -20.0;;;;;-78.0; -88.0;;;;
14:09:48.989;;;16.8;;;;;;;;;;;;
14:09:49.537;10.4;;;;;;;;;;;;;;
14:09:49.707;;;;-12.5; -20.0;;;;;-78.0; -89.0;;;;
14:09:49.707;;;17.3;;;;;;;;;;;;
14:09:50.388;;;;-18.5; -19.0;;;;;-78.0; -84.0;;;;
14:09:50.388;;;18.5;;;;;;;;;;;;
14:09:50.544;6.8;;;;;;;;;;;;;;
14:09:51.109;;;;-16.5; -20.0;;;;;-79.0; -85.0;;;;
14:09:51.109;;;16.7;;;;;;;;;;;;
14:09:51.551;6.6;;;;;;;;;;;;;;
14:09:51.857;;;;-15.5; -17.5;;;;;-84.0; -88.0;;;;
14:09:51.857;;;16.5;;;;;;;;;;;;
14:09:52.509;;;;-14.5; -20.0;;;;;-82.0; -88.0;;;;
14:09:52.509;;;17.1;;;;;;;;;;;;
14:09:52.560;6.4;;;;;;;;;;;;;;
14:09:53.227;;;;-20.0; -20.0;;;;;-84.0; -87.0;;;;
14:09:53.227;;;18.0;;;;;;;;;;;;
14:09:53.594;6.7;;;;;;;;;;;;;;
14:09:53.907;;;;-19.5; -20.0;;;;;-81.0; -85.0;;;;
14:09:53.907;;;18.6;;;;;;;;;;;;
14:09:54.599;6.9;;;;;;;;;;;;;;
14:09:54.627;;;;-20.0; -20.0;;;;;-86.0; -87.0;;;;
14:09:54.627;;;18.5;;;;;;;;;;;;
14:09:55.308;;;;-16.5; -20.0;;;;;-77.0; -84.0;;;;
14:09:55.308;;;17.3;;;;;;;;;;;;
14:09:55.604;6.8;;;;;;;;;;;;;;
14:09:55.989;;;;-15.0; -20.0;;;;;-78.0; -83.0;;;;
14:09:55.989;;;18.4;;;;;;;;;;;;
14:09:56.611;6.9;;;;;;;;;;;;;;
14:09:56.669;;;;-12.5; -20.0;;;;;-76.0; -87.0;;;;
14:09:56.669;;;18.1;;;;;;;;;;;;
14:09:57.351;;;;-20.0; -20.0;;;;;-83.0; -84.0;;;;
14:09:57.351;;;18.4;;;;;;;;;;;;
14:09:57.638;6.7;;;;;;;;;;;;;;
14:09:58.076;;;;-19.0; -20.0;;;;;-82.0; -85.0;;;;
14:09:58.076;;;19.5;;;;;;;;;;;;
14:09:58.646;6.8;;;;;;;;;;;;;;
14:09:58.748;;;;-18.5; -20.0;;;;;-83.0; -88.0;;;;
14:09:58.748;;;17.6;;;;;;;;;;;;
14:09:59.473;;;;-20.0; -20.0;;;;;-81.0; -85.0;;;;
